iter	Passed	Remaining
533	1587	1385
534	1590	1382
535	1592	1378
536	1595	1375
537	1598	1372
538	1600	1369
539	1603	1366
540	1606	1363
541	1609	1359
542	1611	1356
543	1614	1353
544	1617	1350
545	1620	1347
546	1622	1343
547	1625	1340
548	1628	1337
549	1630	1334
550	1633	1331
551	1636	1327
552	1638	1324
553	1641	1321
554	1644	1318
555	1646	1315
556	1649	1312
557	1652	1308
558	1655	1305
559	1657	1302
560	1660	1299
561	1663	1296
562	1666	1293
563	1669	1290
564	1671	1287
565	1674	1283
566	1677	1280
567	1679	1277
568	1682	1274
569	1685	1271
570	1688	1268
571	1690	1265
572	1693	1262
573	1696	1258
574	1699	1255
575	1701	1252
576	1704	1249
577	1707	1246
578	1710	1243
579	1712	1240
580	1715	1237
581	1718	1234
582	1720	1230
583	1723	1227
584	1726	1224
585	1729	1221
586	1731	1218
587	1734	1215
588	1737	1212
589	1740	1209
590	1742	1206
591	1746	1203
592	1749	1200
593	1751	1197
594	1754	1194
595	1757	1191
596	1760	1188
597	1762	1184
598	1765	1181
599	1768	1178
600	1770	1175
601	1773	1172
602	1776	1169
603	1779	1166
604	1781	1163
605	1784	1160
606	1787	1157
607	1790	1154
608	1792	1151
609	1795	1147
610	1798	1144
611	1801	1141
612	1803	1138
613	1806	1135
614	1809	1132
615	1812	1129
616	1814	1126
617	1817	1123
618	1820	1120
619	1823	1117
620	1826	1114
621	1828	1111
622	1831	1108
623	1834	1105
624	1837	1102
625	1839	1099
626	1842	1095
627	1845	1092
628	1847	1089
629	1850	1086
630	1853	1083
631	1855	1080
632	1858	1077
633	1861	1074
634	1864	1071
635	1867	1068
636	1870	1065
637	1872	1062
638	1875	1059
639	1878	1056
640	1881	1053
641	1883	1050
642	1886	1047
643	1889	1044
644	1892	1041
645	1895	1038
646	1897	1035
647	1900	1032
648	1902	1029
649	1905	1026
650	1908	1022
651	1910	1019
652	1913	1016
653	1916	1013
654	1918	1010
655	1921	1007
656	1923	1004
657	1926	1001
658	1929	998
659	1932	995
660	1934	992
661	1937	989
662	1940	986
663	1943	983
664	1946	980
665	1949	977
666	1951	974
667	1954	971
668	1957	968
669	1960	965
670	1962	962
671	1965	959
672	1968	956
673	1971	953
674	1974	950
675	1976	947
676	1979	944
677	1982	941
678	1985	938
679	1987	935
680	1990	932
681	1993	929
682	1996	926
683	1999	923
684	2001	920
685	2004	917
686	2007	914
687	2009	911
688	2012	908
689	2015	905
690	2017	902
691	2020	899
692	2023	896
693	2025	893
694	2028	890
695	2031	887
696	2033	884
697	2036	880
698	2038	877
699	2041	874
700	2044	871
701	2047	868
702	2049	865
703	2052	862
704	2055	859
705	2057	856
706	2060	854
707	2063	851
708	2066	848
709	2068	845
710	2071	842
711	2074	839
712	2077	836
713	2080	833
714	2082	830
715	2085	827
716	2088	824
717	2090	821
718	2093	818
719	2096	815
720	2099	812
721	2101	809
722	2104	806
723	2107	803
724	2109	800
725	2112	797
726	2115	794
727	2118	791
728	2121	788
729	2123	785
730	2126	782
731	2129	779
732	2132	776
733	2134	773
734	2137	770
735	2140	767
736	2143	764
737	2146	761
738	2148	758
739	2151	755
740	2154	752
741	2156	749
742	2159	746
743	2162	743
744	2164	740
745	2167	738
746	2170	735
747	2173	732
748	2176	729
749	2179	726
750	2181	723
751	2184	720
752	2187	717
753	2189	714
754	2192	711
755	2195	708
756	2198	705
757	2200	702
758	2203	699
759	2206	696
760	2209	693
761	2211	690
762	2214	687
763	2217	684
764	2219	681
765	2222	678
766	2225	676
767	2228	673
768	2231	670
769	2233	667
770	2236	664
771	2238	661
772	2241	658
773	2244	655
774	2246	652
775	2249	649
776	2252	646
777	2254	643
778	2257	640
779	2260	637
780	2263	634
781	2265	631
782	2268	628
783	2271	625
784	2273	622
785	2276	619
786	2279	616
787	2281	613
788	2284	610
789	2287	607
790	2289	605
791	2292	602
792	2295	599
793	2297	596
794	2300	593
795	2303	590
796	2305	587
797	2308	584
798	2311	581
799	2314	578
800	2316	575
801	2319	572
802	2322	569
803	2325	566
804	2328	563
805	2330	561
806	2333	558
807	2336	555
808	2338	552
809	2341	549
810	2344	546
811	2347	543
812	2349	540
813	2352	537
814	2354	534
815	2357	531
816	2360	528
817	2363	525
818	2365	522
819	2368	519
820	2371	516
821	2373	514
822	2376	511
823	2379	508
824	2382	505
825	2385	502
826	2387	499
827	2390	496
828	2393	493
829	2396	490
830	2399	487
831	2401	484
832	2404	482
833	2407	479
834	2410	476
835	2413	473
836	2415	470
837	2418	467
838	2421	464
839	2423	461
840	2426	458
841	2429	455
842	2432	452
843	2435	450
844	2437	447
845	2440	444
846	2443	441
847	2445	438
848	2448	435
849	2451	432
850	2454	429
851	2456	426
852	2459	423
853	2462	420
854	2465	418
855	2467	415
856	2470	412
857	2473	409
858	2476	406
859	2478	403
860	2481	400
861	2483	397
862	2486	394
863	2489	391
864	2492	388
865	2494	386
866	2497	383
867	2500	380
868	2503	377
869	2505	374
870	2508	371
871	2511	368
872	2513	365
873	2516	362
874	2519	359
875	2522	357
876	2524	354
877	2527	351
878	2531	348
879	2533	345
880	2536	342
881	2538	339
882	2541	336
883	2544	333
884	2547	330
885	2550	328
886	2552	325
887	2555	322
888	2558	319
889	2561	316
890	2563	313
891	2566	310
892	2569	307
893	2571	304
894	2574	302
895	2577	299
896	2580	296
897	2582	293
898	2585	290
899	2588	287
900	2591	284
901	2593	281
902	2596	278
903	2599	276
904	2601	273
905	2604	270
906	2607	267
907	2610	264
908	2612	261
909	2615	258
910	2618	255
911	2620	252
912	2623	249
913	2626	247
914	2629	244
915	2631	241
916	2634	238
917	2637	235
918	2640	232
919	2642	229
920	2645	226
921	2648	224
922	2650	221
923	2653	218
924	2656	215
925	2659	212
926	2662	209
927	2665	206
928	2667	203
929	2670	201
930	2673	198
931	2676	195
932	2678	192
933	2681	189
934	2684	186
935	2687	183
936	2690	180
937	2692	177
938	2695	175
939	2698	172
940	2700	169
941	2703	166
942	2706	163
943	2709	160
944	2712	157
945	2714	154
946	2717	152
947	2720	149
948	2723	146
949	2725	143
950	2728	140
951	2731	137
952	2734	134
953	2736	131
954	2739	129
955	2742	126
956	2744	123
957	2747	120
958	2750	117
959	2752	114
960	2755	111
961	2758	108
962	2761	106
963	2764	103
964	2766	100
965	2769	97
966	2772	94
967	2775	91
968	2778	88
969	2781	86
970	2784	83
971	2786	80
972	2789	77
973	2792	74
974	2794	71
975	2797	68
976	2800	65
977	2803	63
978	2806	60
979	2808	57
980	2811	54
981	2813	51
982	2816	48
983	2819	45
984	2821	42
985	2824	40
986	2827	37
987	2830	34
988	2833	31
989	2835	28
990	2838	25
991	2841	22
992	2844	20
993	2847	17
994	2850	14
995	2853	11
996	2856	8
997	2858	5
998	2861	2
999	2864	0
